year;fcode;employ;sales;avgsal;scrap;rework;tothrs;union;grant;d89;d88;totrain;hrsemp;lscrap;lemploy;lsales;lrework;lhrsemp;lscrap_1;grant_1;clscrap;cgrant;clemploy;clsales;lavgsal;clavgsal;cgrant_1;chrsemp;clhrsemp
1987;410032;100;47000000;35000;NA;NA;12;0;0;0;0;100;12,0000000000000000;NA;4,60517024993896;17,6656589508057;NA;2,5649492740631104;NA;0;NA;0;NA;NA;10,46310329437256;NA;NA;NA;NA
1988;410032;131;43000000;37000;NA;NA;8;0;0;0;1;50;3,0534350872039795;NA;4,87519741058350;17,5767097473145;NA;1,3995647430419922;NA;0;NA;0;0,27002716064453125;-0,08894920349121094;10,51867294311523;0,05556964874267578;0;-8,94656467437744141;-1,16538453102111816
1989;410032;123;49000000;39000;NA;NA;8;0;0;1;0;50;3,2520325183868408;NA;4,81218433380127;17,7073307037354;NA;1,4473971128463745;NA;0;NA;0;-0,06301307678222656;0,13062095642089844;10,57131671905518;0,05264377593994141;0;0,19859743118286133;0,04783236980438232
1987;410440;12;1560000;10500;NA;NA;12;0;0;0;0;12;12,0000000000000000;NA;2,48490667343140;14,2601966857910;NA;2,5649492740631104;NA;0;NA;0;NA;NA;9,25913047790527;NA;NA;NA;NA
1988;410440;13;1970000;11000;NA;NA;12;0;0;0;1;13;12,0000000000000000;NA;2,56494927406311;14,4935436248779;NA;2,5649492740631104;NA;0;NA;0;0,08004260063171387;0,23334693908691406;9,30565071105957;0,04652023315429688;0;0,00000000000000000;0,00000000000000000
1989;410440;14;2350000;11500;NA;NA;10;0;0;1;0;14;10,0000000000000000;NA;2,63905739784241;14,6699256896973;NA;2,3978953361511230;NA;0;NA;0;0,07410812377929688;0,17638206481933594;9,35010242462158;0,04445171356201172;0;-2,00000000000000000;-0,16705393791198730
1987;410495;20;750000;17680;NA;NA;50;0;0;0;0;15;37,5000000000000000;NA;2,99573230743408;13,5278282165527;NA;3,6506581306457520;NA;0;NA;0;NA;NA;9,78018951416016;NA;NA;NA;NA
1988;410495;25;110000;18720;NA;NA;50;0;0;0;1;10;20,0000000000000000;NA;3,21887588500977;11,6082353591919;NA;3,0445225238800049;NA;0;NA;0;0,22314357757568359;-1,91959285736083984;9,83734798431396;0,05715847015380859;0;-17,50000000000000000;-0,60613560676574707
1989;410495;24;950000;19760;NA;NA;50;0;0;1;0;20;41,6666679382324219;NA;3,17805385589600;13,7642173767090;NA;3,7534179687500000;NA;0;NA;0;-0,04082202911376953;2,15598201751708984;9,89141464233398;0,05406665802001953;0;21,66666793823242188;0,70889544486999512
1987;410500;200;23741000;13729;NA;NA;0;0;0;0;0;0;0,0000000000000000;NA;5,29831743240356;16,9827136993408;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,52726554870605;NA;NA;NA;NA
1988;410500;155;19659000;14287;NA;NA;0;0;0;0;1;0;0,0000000000000000;NA;5,04342508316040;16,7940464019775;NA;0,0000000000000000;NA;0;NA;0;-0,25489234924316406;-0,18866729736328125;9,56710529327393;0,03983974456787109;0;0,00000000000000000;0,00000000000000000
1989;410500;80;25992000;15758;NA;NA;24;0;0;1;0;20;6,0000000000000000;NA;4,38202667236328;17,0732994079590;NA;1,9459100961685181;NA;0;NA;0;-0,66139841079711914;0,27925300598144531;9,66510391235352;0,09799861907958984;0;6,00000000000000000;1,94591009616851807
1987;410501;NA;6000000;NA;NA;NA;0;0;0;0;0;10;NA;NA;NA;15,6072702407837;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA
1988;410501;NA;8000000;NA;NA;NA;0;0;0;0;1;20;NA;NA;NA;15,8949518203735;NA;NA;NA;0;NA;0;NA;0,28768157958984375;NA;NA;0;NA;NA
1989;410501;NA;10000000;NA;NA;NA;0;0;0;1;0;25;NA;NA;NA;16,1180953979492;NA;NA;NA;0;NA;0;NA;0,22314357757568359;NA;NA;0;NA;NA
1987;410509;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA
1988;410509;NA;2800000;18000;NA;NA;0;0;0;0;1;0;NA;NA;NA;14,8451299667358;NA;NA;NA;0;NA;0;NA;NA;9,79812717437744;NA;0;NA;NA
1989;410509;20;3400000;18500;NA;NA;0;0;0;1;0;0;0,0000000000000000;NA;2,99573230743408;15,0392856597900;NA;0,0000000000000000;NA;0;NA;0;NA;0,19415569305419922;9,82552623748779;0,02739906311035156;0;NA;NA
1987;410513;15;1413900;18465;NA;NA;0;0;0;0;0;0;0,0000000000000000;NA;2,70805025100708;14,1618623733521;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,82363224029541;NA;NA;NA;NA
1988;410513;16;1869348;18972;NA;NA;0;0;0;0;1;0;0,0000000000000000;NA;2,77258872985840;14,4411001205444;NA;0,0000000000000000;NA;0;NA;0;0,06453847885131836;0,27923774719238281;9,85071945190430;0,02708721160888672;0;0,00000000000000000;0,00000000000000000
1989;410513;16;1857765;19589;NA;NA;20;0;0;1;0;16;20,0000000000000000;NA;2,77258872985840;14,4348850250244;NA;3,0445225238800049;NA;0;NA;0;0,00000000000000000;-0,00621509552001953;9,88272380828857;0,03200435638427734;0;20,00000000000000000;3,04452252388000488
1987;410517;24;NA;13000;NA;NA;0;1;0;0;0;0;0,0000000000000000;NA;3,17805385589600;NA;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,47270488739014;NA;NA;NA;NA
1988;410517;20;NA;12168;NA;NA;0;1;0;0;1;0;0,0000000000000000;NA;2,99573230743408;NA;NA;0,0000000000000000;NA;0;NA;0;-0,18232154846191406;NA;9,40656471252441;-0,06614017486572266;0;0,00000000000000000;0,00000000000000000
1989;410517;18;NA;11960;NA;NA;0;1;0;1;0;0;0,0000000000000000;NA;2,89037179946899;NA;NA;0,0000000000000000;NA;0;NA;0;-0,10536050796508789;NA;9,38932323455811;-0,01724147796630859;0;0,00000000000000000;0,00000000000000000
1987;410518;48;2160900;14352;NA;NA;14;0;0;0;0;3;0,8750000000000000;NA;3,87120103836060;14,5860357284546;NA;0,6286086440086365;NA;0;NA;0;NA;NA;9,57164478302002;NA;NA;NA;NA
1988;410518;47;2454500;16328;NA;NA;14;0;0;0;1;3;0,8936170339584351;NA;3,85014748573303;14,7134332656860;NA;0,6384887695312500;NA;0;NA;0;-0,02105355262756348;0,12739753723144531;9,70063686370850;0,12899208068847656;0;0,01861703395843506;0,00988012552261353
1989;410518;66;3359800;17555;NA;NA;14;0;0;1;0;4;0,8484848737716675;NA;4,18965482711792;15,0273923873901;NA;0,6143662929534912;NA;0;NA;0;0,33950734138488770;0,31395912170410156;9,77309417724609;0,07245731353759766;0;-0,04513216018676758;-0,02412247657775879
1987;410521;17;1453081;16454;NA;NA;150;0;0;0;0;5;44,1176452636718750;NA;2,83321332931519;14,1891965866089;NA;3,8092734813690186;NA;0;NA;0;NA;NA;9,70832347869873;NA;NA;NA;NA
1988;410521;16;1546911;18529;NA;NA;100;0;0;0;1;3;18,7500000000000000;NA;2,77258872985840;14,2517709732056;NA;2,9831535816192627;NA;0;NA;0;-0,06062459945678711;0,06257438659667969;9,82709217071533;0,11876869201660156;0;-25,36764526367187500;-0,82611989974975586
1989;410521;14;1672366;26428;NA;NA;0;0;0;1;0;0;0,0000000000000000;NA;2,63905739784241;14,3297500610352;NA;0,0000000000000000;NA;0;NA;0;-0,13353133201599121;0,07797908782958984;10,18217945098877;0,35508728027343750;0;-18,75000000000000000;-2,98315358161926270
